Country Name,Country Code,YR2000,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013
Sweden,SWE,68.63332846,68.69669055,68.62601745,68.55534435,68.48467125,68.41399815,68.41399815,68.91785732,68.91785732
Switzerland,CHE,30.20949297,30.88797227,30.97985626,31.0709586,31.16206094,31.25316328,31.34932685,31.44549043,31.54165401
Syrian Arab Republic,SYR,2.350636631,2.543157436,2.57569157,2.608364191,2.641036811,2.673855035,2.673855035,2.673855035,2.673855035
Tajikistan,TJK,2.929408402,2.929408402,2.929408402,2.929408402,2.929408402,2.929408402,2.932266362,2.935124321,2.937982281
Tanzania,TZA,58.61368255,55.90426733,55.45269813,55.00112892,54.54955972,54.09799052,53.67803116,53.2580718,52.83811244
Thailand,THA,33.29679579,31.57196265,31.63029224,31.68862182,31.7469514,31.80528098,31.86400204,31.92272309,31.98144415
Timor-Leste,TMP,57.43106927,52.91190316,52.15870881,51.40551446,50.65232011,49.89912576,49.14593141,48.39273705,47.6395427
Togo,TGO,8.935466078,6.732855304,6.368817797,6.00478029,5.640742784,5.276705277,4.91266777,4.548630263,4.184592756
Tonga,TON,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
Trinidad and Tobago,TTO,45.53606238,44.69395712,44.55360624,44.41325536,44.27290448,44.13255361,44.44834308,44.76218324,45.07797271
Tunisia,TUN,5.387487127,5.986096807,6.082646756,6.179196704,6.275746653,6.372296601,6.437950566,6.503604531,6.569258496
Turkey,TUR,13.23103309,13.99399712,14.13458415,14.27517119,14.41575822,14.55634526,14.6893962,14.82244715,14.9554981
Turkmenistan,TKM,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045,8.782159045
Turks and Caicos Islands,TCA,36.21052632,36.21052632,36.21052632,36.21052632,36.21052632,36.21052632,36.21052632,36.21052632,36.21052632
Tuvalu,TUV,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333
Uganda,UGA,19.36339523,16.48466043,15.80801762,15.13137481,14.454732,13.72930381,13.05505685,12.38080989,11.70656294
Ukraine,UKR,16.41494779,16.51753659,16.50907082,16.50003452,16.49071325,16.48139198,16.5190223,16.55665263,16.59428295
United Arab Emirates,ARE,3.708133971,3.744736842,3.757416268,3.770095694,3.78277512,3.795454545,3.808133971,3.820813397,3.833492823
United Kingdom,GBR,12.21014343,12.51849709,12.54991113,12.58132518,12.61273922,12.64415327,12.71442153,12.78468979,12.85495805
United States,USA,33.13017359,33.34995285,33.4364631,33.57611217,33.66275955,33.74940694,33.77947006,33.80953318,33.8395963
Uruguay,URY,7.825962747,8.934407496,9.173808708,9.413209919,9.65261113,9.892012341,10.02194035,10.15186836,10.28179637
Uzbekistan,UZB,7.550540668,7.73648331,7.727315468,7.718147626,7.708979784,7.699811942,7.673671838,7.647531735,7.621391631
Vanuatu,VUT,36.09515997,36.09515997,36.09515997,36.09515997,36.09515997,36.09515997,36.09515997,36.09515997,36.09515997
"Venezuela, RB",VEN,55.72359844,54.04614251,53.99897965,53.95181679,53.90465393,53.85749107,53.67110708,53.48472309,53.2983391
Vietnam,VNM,37.70012216,42.85225917,43.53017061,44.20808205,44.88599349,45.56390492,45.97994001,46.3959751,46.81201019
Virgin Islands (U.S.),VIR,58.48571429,53.2,52.85714286,52.54285714,52.2,51.88571429,51.57142857,51.25714286,50.91428571
West Bank and Gaza,WBG,1.508305648,1.523255814,1.523255814,1.523255814,1.523255814,1.523255814,1.523255814,1.523255814,1.523255814
"Yemen, Rep.",YEM,1.039831809,1.039831809,1.039831809,1.039831809,1.039831809,1.039831809,1.039831809,1.039831809,1.039831809
Zambia,ZMB,68.78489084,67.44023998,67.21613151,66.99202303,66.76791455,66.54380608,66.3196976,66.09558913,65.87148065
Zimbabwe,ZWE,48.84063591,43.76890268,42.9236138,42.07832493,41.23303606,40.38774719,39.58019904,38.7726509,37.96510275
